 BSSID              PWR  Beacons    #Data, #/s  CH   MB   ENC CIPHER  AUTH WPS 
 F0:68:65:43:88:E9  -58       30        3    0  11  130   WPA  CCMP   PSK Locke
 F0:68:65:34:7D:F9  -60       24        6    0   1  130   WPA2 CCMP   PSK Locke
 E8:65:D4:CA:F3:51  -63       20        1    0   2  270   WPA2 CCMP   PSK  2.0 
 F0:68:65:45:25:89  -75       11        1    0   1  130   WPA2 CCMP   PSK  2.0 
 F0:68:65:33:AD:29  -82        7        1    0   6  130   WPA2 CCMP   PSK  2.0 
Quitting...
 74:3C:18:56:8C:D9  -81        6        0    0   1  130   WPA2 CCMP   PSK  2.0 
 CC:ED:21:6B:AB:E9  -81        8        0    0   6  130   WPA2 CCMP   PSK  2.0 
 D8:32:14:C5:11:F1  -76       16        0    0   8  270   WPA2 CCMP   PSK  0.0 
 18:A6:F7:C9:BE:5C  -86        4        0    0   3  270   WPA2 CCMP   PSK Locke
 AC:A4:6E:FA:44:F9  -86        6        0    0   6  130   WPA2 CCMP   PSK  2.0 
 50:D4:F7:27:A7:03  -91        6        0    0  11  260   WPA2 CCMP   PSK  2.0 
 50:0F:F5:83:C2:11  -86        5        0    0  13  270   WPA2 CCMP   PSK  2.0 
 BSSID              PWR  Beacons    #Data, #/s  CH   MB   ENC CIPHER  AUTH WPS 
 F0:68:65:43:88:E9  -58       30        3    0  11  130   WPA  CCMP   PSK Locke
 F0:68:65:34:7D:F9  -60       24        6    0   1  130   WPA2 CCMP   PSK Locke
 E8:65:D4:CA:F3:51  -63       20        1    0   2  270   WPA2 CCMP   PSK  2.0 
 F0:68:65:45:25:89  -75       11        1    0   1  130   WPA2 CCMP   PSK  2.0 
 F0:68:65:33:AD:29  -82        7        1    0   6  130   WPA2 CCMP   PSK  2.0 
Quitting...
 74:3C:18:56:8C:D9  -81        6        0    0   1  130   WPA2 CCMP   PSK  2.0 
 CC:ED:21:6B:AB:E9  -81        8        0    0   6  130   WPA2 CCMP   PSK  2.0 
 D8:32:14:C5:11:F1  -76       16        0    0   8  270   WPA2 CCMP   PSK  0.0 
 18:A6:F7:C9:BE:5C  -86        4        0    0   3  270   WPA2 CCMP   PSK Locke
 AC:A4:6E:FA:44:F9  -86        6        0    0   6  130   WPA2 CCMP   PSK  2.0 
 50:D4:F7:27:A7:03  -91        6        0    0  11  260   WPA2 CCMP   PSK  2.0 
 50:0F:F5:83:C2:11  -86        5        0    0  13  270   WPA2 CCMP   PSK  2.0 
 BSSID              PWR  Beacons    #Data, #/s  CH   MB   ENC CIPHER  AUTH WPS 
